index,oversample,decision_boundary,alpha,train_accuracy_mean,train_accuracy_std_dev,validate_accuracy_mean,validate_accuracy_std_dev,overfit
0,1,0.5,0,0.80158696,0.012055073,0.770972141,0.056333001,-3.819276054
1,1,0.5,10,0.808065842,0.012738667,0.77216053,0.070343515,-4.443364627
2,1,0.5,20,0.804989442,0.011906824,0.7788233,0.060662304,-3.250495015
3,1,0.5,30,0.800534787,0.011114689,0.765166569,0.073023472,-4.418073771
4,1,0.5,40,0.795756704,0.012200365,0.763997662,0.073636878,-3.991049172
5,1,0.5,50,0.790735607,0.01094749,0.764017144,0.074611079,-3.378937632
6,1,0.5,60,0.788307145,0.010131415,0.761776739,0.073226081,-3.36549097
7,1,0.5,70,0.780856111,0.009512476,0.751568284,0.070266036,-3.750732927
8,1,0.5,80,0.774538746,0.012052186,0.749288915,0.065983438,-3.259983019
9,1,0.5,90,0.765062798,0.013534771,0.741398792,0.055256722,-3.093080208
10,1,0.5,100,0.757855269,0.013889677,0.733450224,0.062305677,-3.22027785
11,1,0.35,0,0.735018894,0.014872258,0.705201636,0.05676768,-4.056665514
12,1,0.35,10,0.714934607,0.014745742,0.688116111,0.071163826,-3.751181565
13,1,0.35,20,0.690314757,0.01743084,0.664348334,0.069219946,-3.761533819
14,1,0.35,30,0.660189554,0.021934987,0.634833431,0.0600121,-3.840733839
15,1,0.35,40,0.629253127,0.022922612,0.611007208,0.051566433,-2.899615128
16,1,0.35,50,0.599935904,0.020589689,0.581492305,0.052800654,-3.07426167
17,1,0.35,60,0.56681157,0.023997055,0.540600039,0.058913232,-4.624381837
18,1,0.35,70,0.527372624,0.028706508,0.507695305,0.061181024,-3.731198516
19,1,0.35,80,0.480400461,0.032124353,0.457841418,0.049717209,-4.695882795
20,1,0.35,90,0.43869398,0.030968683,0.41702708,0.043900004,-4.938955493
21,1,0.35,100,0.390426827,0.032461835,0.369374635,0.048387788,-5.392096669
22,1,0.2,0,0.621072759,0.022846584,0.597428404,0.056116651,-3.807018381
23,1,0.2,10,0.550453389,0.0275187,0.529339568,0.05709444,-3.835714691
24,1,0.2,20,0.487365959,0.023617608,0.463530099,0.073626007,-4.890751897
25,1,0.2,30,0.429136437,0.024617893,0.414825638,0.065384033,-3.334790099
26,1,0.2,40,0.373824747,0.022211744,0.360413014,0.053349827,-3.587706143
27,1,0.2,50,0.323208759,0.021134937,0.312819014,0.043608076,-3.214561785
28,1,0.2,60,0.279720377,0.020433841,0.273115137,0.053037433,-2.361372473
29,1,0.2,70,0.239390677,0.020797776,0.238028443,0.036897317,-0.569042211
30,1,0.2,80,0.207158769,0.019611832,0.206273135,0.031666177,-0.427514664
31,1,0.2,90,0.180433983,0.015664834,0.183654783,0.016415366,1.785029285
32,1,0.2,100,0.161887895,0.010932695,0.162107929,0.017153642,0.135917356
33,0.85,0.5,0,0.816488732,0.01182947,0.788038184,0.064732696,-3.484499749
34,0.85,0.5,10,0.816811374,0.009790377,0.78460939,0.06352022,-3.942401449
35,0.85,0.5,20,0.809442622,0.009588762,0.780070134,0.05540749,-3.628730099
36,0.85,0.5,30,0.800696697,0.00997966,0.770913696,0.06269777,-3.719635875
37,0.85,0.5,40,0.791789156,0.009964946,0.767504383,0.065959045,-3.067075725
38,0.85,0.5,50,0.781422847,0.008902765,0.761776739,0.064580679,-2.51414564
39,0.85,0.5,60,0.774297306,0.009491716,0.753867134,0.065926296,-2.63854357
40,0.85,0.5,70,0.766118019,0.009154245,0.741398792,0.061854908,-3.226555966
41,0.85,0.5,80,0.757129179,0.010894149,0.733450224,0.055476399,-3.127465582
42,0.85,0.5,90,0.747653427,0.013296472,0.720923437,0.059551867,-3.5751846
43,0.85,0.5,100,0.736638689,0.013271254,0.723280733,0.058338834,-1.813366086
44,0.85,0.35,0,0.754454459,0.010077585,0.729086304,0.05202539,-3.362450045
45,0.85,0.35,10,0.730078507,0.01246094,0.708533022,0.067151549,-2.951119041
46,0.85,0.35,20,0.697846402,0.014703574,0.666530294,0.064845979,-4.487535926
47,0.85,0.35,30,0.655978601,0.019025595,0.626845899,0.064522582,-4.44110548
48,0.85,0.35,40,0.613380088,0.020943834,0.588310929,0.046443553,-4.087051253
49,0.85,0.35,50,0.563249832,0.022273086,0.54289889,0.055323212,-3.613128883
50,0.85,0.35,60,0.520246395,0.022813435,0.502045587,0.050247598,-3.498497616
51,0.85,0.35,70,0.474247661,0.02714047,0.452172219,0.053883284,-4.654834197
52,0.85,0.35,80,0.428733676,0.028007707,0.419286967,0.050569272,-2.203398068
53,0.85,0.35,90,0.382411514,0.029444718,0.368166764,0.068119714,-3.724979457
54,0.85,0.35,100,0.333901643,0.029690935,0.312682642,0.058171088,-6.354865647
55,0.85,0.2,0,0.64787845,0.020438452,0.625735437,0.04904844,-3.417772685
56,0.85,0.2,10,0.563573456,0.020665453,0.541846873,0.05829478,-3.855146666
57,0.85,0.2,20,0.488581518,0.022448159,0.473777518,0.065046157,-3.029995827
58,0.85,0.2,30,0.416423555,0.02303264,0.409097993,0.06258371,-1.759161203
59,0.85,0.2,40,0.345804874,0.020110659,0.332028054,0.05205971,-3.983986611
60,0.85,0.2,50,0.282961637,0.020608132,0.272024157,0.050785713,-3.86535773
61,0.85,0.2,60,0.238824138,0.020065271,0.233489188,0.033871423,-2.23384043
62,0.85,0.2,70,0.207564184,0.018308423,0.208533022,0.029490647,0.466765205
63,0.85,0.2,80,0.180677193,0.01396293,0.182505357,0.01535785,1.011840036
64,0.85,0.2,90,0.162617132,0.009620159,0.164367816,0.015638862,1.076568023
65,0.85,0.2,100,0.151440582,0.007289832,0.153048899,0.013684397,1.06201231
66,0.7,0.5,0,0.832765909,0.009510649,0.798266121,0.064959381,-4.142795397
67,0.7,0.5,10,0.836248412,0.009788578,0.803915839,0.054429226,-3.866383862
68,0.7,0.5,20,0.833981467,0.007211348,0.803837912,0.051796068,-3.614415537
69,0.7,0.5,30,0.826773644,0.00661901,0.795830898,0.054305942,-3.742589739
70,0.7,0.5,40,0.817703799,0.008387505,0.785602961,0.063208919,-3.925729312
71,0.7,0.5,50,0.810981609,0.006908082,0.783382038,0.063822439,-3.403230202
72,0.7,0.5,60,0.803207737,0.007254225,0.773173583,0.063888034,-3.739276033
73,0.7,0.5,70,0.793975097,0.008611618,0.761776739,0.05995652,-4.055336043
74,0.7,0.5,80,0.778587101,0.009765439,0.749327878,0.064613024,-3.757989688
75,0.7,0.5,90,0.755749252,0.010894915,0.726670563,0.06367716,-3.847663599
76,0.7,0.5,100,0.725055838,0.012819863,0.69836353,0.059517078,-3.68141411
77,0.7,0.35,0,0.77324238,0.008952872,0.735865965,0.056485035,-4.833725608
78,0.7,0.35,10,0.749838581,0.011118322,0.722111825,0.06795953,-3.69769657
79,0.7,0.35,20,0.722464875,0.010945421,0.692655367,0.061025128,-4.126084039
80,0.7,0.35,30,0.691042519,0.012914719,0.670075979,0.059933613,-3.034044928
81,0.7,0.35,40,0.645691133,0.017714721,0.633722969,0.052205672,-1.853543207
82,0.7,0.35,50,0.597342877,0.020567194,0.580401325,0.035466566,-2.836152034
83,0.7,0.35,60,0.538304785,0.026099944,0.520280538,0.042260719,-3.348334988
84,0.7,0.35,70,0.469871356,0.029571323,0.449970777,0.046753385,-4.235324985
85,0.7,0.35,80,0.399496082,0.03297766,0.37052406,0.053733764,-7.252141597
86,0.7,0.35,90,0.326690575,0.035696914,0.308143386,0.049644488,-5.67729536
87,0.7,0.35,100,0.264414369,0.030547662,0.25152932,0.04132166,-4.873051793
88,0.7,0.2,0,0.666747475,0.01890139,0.640541594,0.052651173,-3.930405723
89,0.7,0.2,10,0.584708443,0.023431133,0.559984415,0.059723456,-4.228437039
90,0.7,0.2,20,0.504128475,0.026984178,0.477147867,0.07144469,-5.351930956
91,0.7,0.2,30,0.426463979,0.027420688,0.411377362,0.076925311,-3.537606262
92,0.7,0.2,40,0.350661405,0.024652742,0.332105981,0.047082907,-5.291550231
93,0.7,0.2,50,0.284093438,0.022808575,0.275413988,0.050138696,-3.055139315
94,0.7,0.2,60,0.231210702,0.021102693,0.22554062,0.035503841,-2.452344314
95,0.7,0.2,70,0.187965726,0.017937195,0.189285019,0.020915073,0.701879044
96,0.7,0.2,80,0.160834543,0.011634246,0.166647185,0.016475809,3.614050993
97,0.7,0.2,90,0.146095566,0.007540508,0.146249756,0.011994769,0.10554111
98,0.7,0.2,100,0.140103104,0.004320495,0.140600039,0.009914984,0.354692524
