index,parameters,max_depth,max_leaf_nodes,training,validation,overfit_%
360,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 2}",6,2,0.603603604,0.5,-17.1641791
361,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 2}",6,2,0.738738739,0.75,1.524390244
362,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 2}",6,2,0.594594595,0.625,5.113636364
363,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 2}",6,2,0.765765766,0.375,-51.02941176
364,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 2}",6,2,0.747747748,0.5,-33.13253012
365,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 2}",6,2,0.72972973,0.75,2.777777778
366,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 2}",6,2,0.603603604,0.5,-17.1641791
367,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 2}",6,2,0.585585586,0.75,28.07692308
368,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 2}",6,2,0.423423423,0.25,-40.95744681
369,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 2}",6,2,0.792792793,0.75,-5.397727273
370,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 2}",6,2,0.603603604,0.5,-17.1641791
371,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 2}",6,2,0.738738739,0.75,1.524390244
372,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 2}",6,2,0.603603604,0.5,-17.1641791
373,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 2}",6,2,0.414414414,0.375,-9.510869565
374,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 2}",6,2,0.419642857,0.285714286,-31.91489362
375,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 3}",6,3,0,0,NaN
376,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 3}",6,3,0,0,NaN
377,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 3}",6,3,0,0,NaN
378,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 3}",6,3,0,0,NaN
379,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 3}",6,3,0.603603604,0.5,-17.1641791
380,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 3}",6,3,0.594594595,0.625,5.113636364
381,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 3}",6,3,0.603603604,0.5,-17.1641791
382,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 3}",6,3,0,0,NaN
383,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 3}",6,3,0,0,NaN
384,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 3}",6,3,0.531531532,0.25,-52.96610169
385,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 3}",6,3,0.603603604,0.5,-17.1641791
386,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 3}",6,3,0,0,NaN
387,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 3}",6,3,0,0,NaN
388,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 3}",6,3,0,0,NaN
389,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 3}",6,3,0,0,NaN
390,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 4}",6,4,0.522522523,0.25,-52.15517241
391,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 4}",6,4,0.63963964,0.625,-2.288732394
392,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 4}",6,4,0.477477477,0.5,4.716981132
393,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 4}",6,4,0.666666667,0.25,-62.5
394,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 4}",6,4,0.540540541,0.375,-30.625
395,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 4}",6,4,0.477477477,0.375,-21.46226415
396,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 4}",6,4,0.486486486,0.375,-22.91666667
397,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 4}",6,4,0.495495495,0.625,26.13636364
398,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 4}",6,4,0.414414414,0.625,50.81521739
399,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 4}",6,4,0.531531532,0.25,-52.96610169
400,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 4}",6,4,0.495495495,0.375,-24.31818182
401,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 4}",6,4,0.630630631,0.75,18.92857143
402,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 4}",6,4,0.486486486,0.5,2.777777778
403,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 4}",6,4,0,0,NaN
404,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 4}",6,4,0.4375,0.571428571,30.6122449
405,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 5}",6,5,0.756756757,0.375,-50.44642857
406,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 5}",6,5,0.387387387,0.5,29.06976744
407,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 5}",6,5,0.477477477,0.5,4.716981132
408,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 5}",6,5,0.594594595,0.125,-78.97727273
409,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 5}",6,5,0.540540541,0.375,-30.625
410,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 5}",6,5,0.603603604,0.5,-17.1641791
411,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 5}",6,5,0.486486486,0.375,-22.91666667
412,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 5}",6,5,0.711711712,0.625,-12.1835443
413,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 5}",6,5,0.279279279,0.5,79.03225806
414,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 5}",6,5,0.459459459,0.125,-72.79411765
415,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 5}",6,5,0.495495495,0.375,-24.31818182
416,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 5}",6,5,0.261261261,0.125,-52.15517241
417,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 5}",6,5,0.72972973,0.625,-14.35185185
418,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 5}",6,5,0.315315315,0.25,-20.71428571
419,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 5}",6,5,0.758928571,0.571428571,-24.70588235
420,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 6}",6,6,0.63963964,0.375,-41.37323944
421,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 6}",6,6,0.387387387,0.5,29.06976744
422,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 6}",6,6,0.558558559,0.5,-10.48387097
423,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 6}",6,6,0.459459459,0,-100
424,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 6}",6,6,0.540540541,0.375,-30.625
425,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 6}",6,6,0.477477477,0.375,-21.46226415
426,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 6}",6,6,0.387387387,0.25,-35.46511628
427,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 6}",6,6,0.486486486,0.25,-48.61111111
428,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 6}",6,6,0.594594595,0.625,5.113636364
429,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 6}",6,6,0.594594595,0.375,-36.93181818
430,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 6}",6,6,0.756756757,0.625,-17.41071429
431,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 6}",6,6,0.603603604,0.75,24.25373134
432,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 6}",6,6,0.648648649,0.125,-80.72916667
433,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 6}",6,6,0.522522523,0.375,-28.23275862
434,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 6}",6,6,0.723214286,0.571428571,-20.98765432
435,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 7}",6,7,0.459459459,0.125,-72.79411765
436,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 7}",6,7,0.576576577,0.625,8.3984375
437,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 7}",6,7,0.828828829,0.75,-9.510869565
438,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 7}",6,7,0.513513514,0,-100
439,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 7}",6,7,0.45045045,0.25,-44.5
440,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 7}",6,7,0.396396396,0.375,-5.397727273
441,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 7}",6,7,0.63963964,0.625,-2.288732394
442,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 7}",6,7,0.486486486,0.25,-48.61111111
443,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 7}",6,7,0.558558559,0.625,11.89516129
444,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 7}",6,7,0.495495495,0.375,-24.31818182
445,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 7}",6,7,0.648648649,0.625,-3.645833333
446,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 7}",6,7,0.495495495,0.625,26.13636364
447,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 7}",6,7,0.720720721,0.125,-82.65625
448,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 7}",6,7,0.396396396,0.25,-36.93181818
449,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 7}",6,7,0.526785714,0.285714286,-45.76271186
450,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 2}",7,2,0.603603604,0.5,-17.1641791
451,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 2}",7,2,0.738738739,0.75,1.524390244
452,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 2}",7,2,0.594594595,0.625,5.113636364
453,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 2}",7,2,0.765765766,0.375,-51.02941176
454,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 2}",7,2,0.747747748,0.5,-33.13253012
455,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 2}",7,2,0.72972973,0.75,2.777777778
456,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 2}",7,2,0.603603604,0.5,-17.1641791
457,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 2}",7,2,0.585585586,0.75,28.07692308
458,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 2}",7,2,0.423423423,0.25,-40.95744681
459,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 2}",7,2,0.792792793,0.75,-5.397727273
460,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 2}",7,2,0.603603604,0.5,-17.1641791
461,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 2}",7,2,0.738738739,0.75,1.524390244
462,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 2}",7,2,0.603603604,0.5,-17.1641791
463,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 2}",7,2,0.414414414,0.375,-9.510869565
464,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 2}",7,2,0.419642857,0.285714286,-31.91489362
465,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 3}",7,3,0,0,NaN
466,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 3}",7,3,0,0,NaN
467,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 3}",7,3,0,0,NaN
468,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 3}",7,3,0,0,NaN
469,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 3}",7,3,0.603603604,0.5,-17.1641791
470,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 3}",7,3,0.594594595,0.625,5.113636364
471,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 3}",7,3,0.603603604,0.5,-17.1641791
472,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 3}",7,3,0,0,NaN
473,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 3}",7,3,0,0,NaN
474,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 3}",7,3,0.531531532,0.25,-52.96610169
475,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 3}",7,3,0.603603604,0.5,-17.1641791
476,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 3}",7,3,0,0,NaN
477,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 3}",7,3,0,0,NaN
478,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 3}",7,3,0,0,NaN
479,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 3}",7,3,0,0,NaN
480,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 4}",7,4,0.522522523,0.25,-52.15517241
481,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 4}",7,4,0.63963964,0.625,-2.288732394
482,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 4}",7,4,0.477477477,0.5,4.716981132
483,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 4}",7,4,0.666666667,0.25,-62.5
484,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 4}",7,4,0.540540541,0.375,-30.625
485,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 4}",7,4,0.477477477,0.375,-21.46226415
486,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 4}",7,4,0.486486486,0.375,-22.91666667
487,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 4}",7,4,0.495495495,0.625,26.13636364
488,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 4}",7,4,0.414414414,0.625,50.81521739
489,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 4}",7,4,0.531531532,0.25,-52.96610169
490,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 4}",7,4,0.495495495,0.375,-24.31818182
491,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 4}",7,4,0.630630631,0.75,18.92857143
492,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 4}",7,4,0.486486486,0.5,2.777777778
493,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 4}",7,4,0,0,NaN
494,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 4}",7,4,0.4375,0.571428571,30.6122449
495,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 5}",7,5,0.756756757,0.375,-50.44642857
496,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 5}",7,5,0.387387387,0.5,29.06976744
497,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 5}",7,5,0.477477477,0.5,4.716981132
498,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 5}",7,5,0.594594595,0.125,-78.97727273
499,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 5}",7,5,0.540540541,0.375,-30.625
500,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 5}",7,5,0.603603604,0.5,-17.1641791
501,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 5}",7,5,0.486486486,0.375,-22.91666667
502,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 5}",7,5,0.711711712,0.625,-12.1835443
503,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 5}",7,5,0.279279279,0.5,79.03225806
504,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 5}",7,5,0.459459459,0.125,-72.79411765
505,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 5}",7,5,0.495495495,0.375,-24.31818182
506,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 5}",7,5,0.261261261,0.125,-52.15517241
507,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 5}",7,5,0.72972973,0.625,-14.35185185
508,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 5}",7,5,0.315315315,0.25,-20.71428571
509,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 5}",7,5,0.758928571,0.571428571,-24.70588235
510,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 6}",7,6,0.63963964,0.375,-41.37323944
511,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 6}",7,6,0.387387387,0.5,29.06976744
512,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 6}",7,6,0.558558559,0.5,-10.48387097
513,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 6}",7,6,0.459459459,0,-100
514,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 6}",7,6,0.540540541,0.375,-30.625
515,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 6}",7,6,0.477477477,0.375,-21.46226415
516,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 6}",7,6,0.387387387,0.25,-35.46511628
517,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 6}",7,6,0.486486486,0.25,-48.61111111
518,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 6}",7,6,0.594594595,0.625,5.113636364
519,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 6}",7,6,0.594594595,0.375,-36.93181818
520,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 6}",7,6,0.756756757,0.625,-17.41071429
521,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 6}",7,6,0.603603604,0.75,24.25373134
522,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 6}",7,6,0.648648649,0.125,-80.72916667
523,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 6}",7,6,0.522522523,0.375,-28.23275862
524,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 6}",7,6,0.723214286,0.571428571,-20.98765432
525,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 7}",7,7,0.459459459,0.125,-72.79411765
526,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 7}",7,7,0.576576577,0.625,8.3984375
527,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 7}",7,7,0.828828829,0.75,-9.510869565
528,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 7}",7,7,0.513513514,0,-100
529,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 7}",7,7,0.45045045,0.25,-44.5
530,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 7}",7,7,0.396396396,0.375,-5.397727273
531,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 7}",7,7,0.63963964,0.625,-2.288732394
532,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 7}",7,7,0.486486486,0.25,-48.61111111
533,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 7}",7,7,0.558558559,0.625,11.89516129
534,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 7}",7,7,0.495495495,0.375,-24.31818182
535,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 7}",7,7,0.648648649,0.625,-3.645833333
536,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 7}",7,7,0.495495495,0.625,26.13636364
537,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 7}",7,7,0.720720721,0.125,-82.65625
538,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 7}",7,7,0.396396396,0.25,-36.93181818
539,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 7}",7,7,0.526785714,0.285714286,-45.76271186
