index,parameters,oversample_SMOTE__sampling_strategy,kn_class__n_neighbors,kn_class__weights,kn_class__algorithm,kn_class__p,training,validation,overfit_%
0,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 200, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,200,uniform,brute,2,0.927927928,1,7.766990291
1,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 200, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,200,uniform,brute,2,0.936936937,0.875,-6.610576923
2,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 200, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,200,uniform,brute,2,0.954954955,1,4.716981132
3,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 200, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,200,uniform,brute,2,0.936936937,0.75,-19.95192308
4,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 200, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,200,uniform,brute,2,0.954954955,0.625,-34.55188679
5,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 200, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,200,uniform,brute,2,0.945945946,0.875,-7.5
6,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 200, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,200,uniform,brute,2,0.954954955,1,4.716981132
7,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 200, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,200,uniform,brute,2,0.954954955,1,4.716981132
8,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 200, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,200,uniform,brute,2,0.918918919,0.875,-4.779411765
9,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 200, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,200,uniform,brute,2,0.972972973,1,2.777777778
10,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 200, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,200,uniform,brute,2,0.945945946,1,5.714285714
11,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 200, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,200,uniform,brute,2,0.972972973,1,2.777777778
12,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 200, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,200,uniform,brute,2,0.945945946,1,5.714285714
13,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 200, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,200,uniform,brute,2,0.945945946,0.75,-20.71428571
14,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 200, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,200,uniform,brute,2,0.955357143,1,4.672897196
15,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 300, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,300,uniform,brute,2,0.936936937,1,6.730769231
16,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 300, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,300,uniform,brute,2,0.936936937,0.875,-6.610576923
17,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 300, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,300,uniform,brute,2,0.945945946,1,5.714285714
18,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 300, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,300,uniform,brute,2,0.945945946,0.75,-20.71428571
19,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 300, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,300,uniform,brute,2,0.954954955,0.625,-34.55188679
20,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 300, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,300,uniform,brute,2,0.945945946,0.875,-7.5
21,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 300, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,300,uniform,brute,2,0.954954955,1,4.716981132
22,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 300, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,300,uniform,brute,2,0.936936937,1,6.730769231
23,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 300, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,300,uniform,brute,2,0.90990991,0.875,-3.836633663
24,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 300, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,300,uniform,brute,2,0.981981982,1,1.834862385
25,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 300, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,300,uniform,brute,2,0.927927928,1,7.766990291
26,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 300, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,300,uniform,brute,2,0.954954955,1,4.716981132
27,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 300, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,300,uniform,brute,2,0.936936937,1,6.730769231
28,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 300, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,300,uniform,brute,2,0.954954955,0.875,-8.372641509
29,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 300, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,300,uniform,brute,2,0.946428571,1,5.660377358
30,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 400, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,400,uniform,brute,2,0.927927928,1,7.766990291
31,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 400, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,400,uniform,brute,2,0.945945946,0.875,-7.5
32,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 400, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,400,uniform,brute,2,0.936936937,1,6.730769231
33,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 400, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,400,uniform,brute,2,0.954954955,0.75,-21.46226415
34,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 400, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,400,uniform,brute,2,0.954954955,0.625,-34.55188679
35,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 400, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,400,uniform,brute,2,0.936936937,0.875,-6.610576923
36,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 400, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,400,uniform,brute,2,0.936936937,1,6.730769231
37,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 400, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,400,uniform,brute,2,0.954954955,1,4.716981132
38,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 400, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,400,uniform,brute,2,0.936936937,0.875,-6.610576923
39,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 400, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,400,uniform,brute,2,0.954954955,1,4.716981132
40,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 400, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,400,uniform,brute,2,0.927927928,1,7.766990291
41,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 400, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,400,uniform,brute,2,0.954954955,1,4.716981132
42,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 400, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,400,uniform,brute,2,0.945945946,1,5.714285714
43,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 400, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,400,uniform,brute,2,0.945945946,0.75,-20.71428571
44,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 400, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,400,uniform,brute,2,0.955357143,1,4.672897196
45,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 500, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,500,uniform,brute,2,0.927927928,1,7.766990291
46,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 500, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,500,uniform,brute,2,0.936936937,0.875,-6.610576923
47,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 500, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,500,uniform,brute,2,0.945945946,1,5.714285714
48,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 500, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,500,uniform,brute,2,0.945945946,0.75,-20.71428571
49,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 500, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,500,uniform,brute,2,0.954954955,0.625,-34.55188679
50,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 500, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,500,uniform,brute,2,0.936936937,0.875,-6.610576923
51,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 500, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,500,uniform,brute,2,0.945945946,1,5.714285714
52,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 500, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,500,uniform,brute,2,0.954954955,1,4.716981132
53,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 500, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,500,uniform,brute,2,0.936936937,0.875,-6.610576923
54,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 500, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,500,uniform,brute,2,0.954954955,1,4.716981132
55,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 500, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,500,uniform,brute,2,0.936936937,1,6.730769231
56,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 500, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,500,uniform,brute,2,0.954954955,1,4.716981132
57,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 500, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,500,uniform,brute,2,0.936936937,1,6.730769231
58,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 500, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,500,uniform,brute,2,0.945945946,0.75,-20.71428571
59,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 500, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,500,uniform,brute,2,0.946428571,1,5.660377358
60,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 600, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,600,uniform,brute,2,0.927927928,1,7.766990291
61,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 600, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,600,uniform,brute,2,0.945945946,1,5.714285714
62,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 600, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,600,uniform,brute,2,0.954954955,1,4.716981132
63,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 600, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,600,uniform,brute,2,0.954954955,0.875,-8.372641509
64,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 600, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,600,uniform,brute,2,0.945945946,0.625,-33.92857143
65,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 600, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,600,uniform,brute,2,0.936936937,0.875,-6.610576923
66,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 600, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,600,uniform,brute,2,0.945945946,1,5.714285714
67,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 600, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,600,uniform,brute,2,0.954954955,1,4.716981132
68,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 600, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,600,uniform,brute,2,0.954954955,0.875,-8.372641509
69,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 600, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,600,uniform,brute,2,0.963963964,1,3.738317757
70,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 600, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,600,uniform,brute,2,0.936936937,1,6.730769231
71,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 600, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,600,uniform,brute,2,0.954954955,1,4.716981132
72,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 600, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,600,uniform,brute,2,0.954954955,1,4.716981132
73,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 600, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,600,uniform,brute,2,0.954954955,0.75,-21.46226415
74,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 600, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,600,uniform,brute,2,0.955357143,1,4.672897196
75,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 700, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,700,uniform,brute,2,0.927927928,1,7.766990291
76,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 700, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,700,uniform,brute,2,0.945945946,1,5.714285714
77,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 700, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,700,uniform,brute,2,0.963963964,1,3.738317757
78,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 700, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,700,uniform,brute,2,0.954954955,0.75,-21.46226415
79,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 700, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,700,uniform,brute,2,0.945945946,0.625,-33.92857143
80,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 700, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,700,uniform,brute,2,0.936936937,0.875,-6.610576923
81,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 700, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,700,uniform,brute,2,0.936936937,1,6.730769231
